Marca,Modelo,Ano,Combustível,Lance,Taxa Adm,Valor_FIPE,BrandID
CITROEN,C3 1.6 A TEND,16/17,--,1.960,null,13
IMP CHEV,SONIC LT NB AT,13/13,--,1.960,null,23
IMP FIAT,SIENA EL FLEX,10/11,R$ 14.200,1.960,null,21
SHINERAY,XY 125-6A CBS,23/24,--,560,null,183
HONDA,CG 160 FAN,21/22,--,560,null,25
DAFRA,CRUISYM 150 CBS,23/24,R$ 7.500,560,null,0
FIAT,SIENA ESSENCE 1.6,14/15,--,1.960,null,21
FORD,KA HA 1.0 PORTO FUR FURGAO,16/17,--,1.960,null,22
GM,CELTA 2P SPIRIT,06/07,R$ 7.500,1.960,null,23
IMP NISSAN,MARCH 16S FLEX,12/13,--,1.960,null,43
RENAULT,LOGAN EXPR 10,18/19,--,1.960,null,48
JEEP,RENEGADE 1.8 AT,20/21,--,1.960,null,29
IMP PEUGEOT,408 FELINE,11/11,--,1.960,null,44
RENAULT,SANDERO AUT 10 16V,11/12,--,1.960,null,48
VW,FOX 1.0,07/08,--,1.960,null,59
VW,NOVA SAVEIRO RB MBVS C ABERTA,16/17,R$ 24.100,1.960,null,59
HONDA,CG 160 START,22/23,--,560,null,25
YAMAHA,NEO 125,23/24,--,560,null,0
HONDA,CG 160 TITAN,22/23,--,560,null,25
VW,GOL 1.0,10/10,R$ 5.400,1.960,null,59
RENAULT,SANDERO EXP 10 16V,13/14,--,1.960,null,48
CITROEN,C3 GLX 14 FLEX,07/08,--,1.960,null,13
FIAT,PALIO FIRE,16/16,--,1.960,null,21
FORD,FIESTA SEDAN 1.6 FLEX,11/12,--,1.960,null,22
GM,CELTA 2P SPIRIT,08/09,--,1.960,null,23
HONDA,CIVIC LXL,04/04,R$ 8.100,1.960,null,25
NISSAN,LIVINA 18 SL,12/13,--,1.960,null,43
VW,FOX 1.0,06/06,--,1.960,null,59
VW,NOVO VOYAGE 1.6 CITY,13/14,R$ 13.700,1.960,null,59
HONDA,CG 160 START,20/21,--,560,null,25
JTA-SUZUKI,VSTROM 650,17/18,--,560,null,0
HONDA,CG 160 TITAN,17/18,R$ 8.800,560,null,25
GM,PRISMA JOY,08/09,--,1.960,null,23
CHEVROLET,CELTA 1.0L LS,11/12,--,1.960,null,23
FIAT,IDEA ELX FLEX,08/09,R$ 15.000,1.960,null,21
FIAT,PALIO FIRE FLEX,07/07,--,1.960,null,21
IMP FORD,FOCUS FC FLEX,11/11,--,1.960,null,22
FORD,KA SE PLUS 1.0 HA C,20/21,--,1.960,null,22
GM,CELTA 2P LIFE,10/11,--,1.960,null,23
IMP FIAT,FREEMONT PRECISIO,12/12,--,1.960,null,21
IMP CITROEN,C4 PIC GLXA 5L,08/09,--,1.960,null,13
FORD,ECOSPORT FSL 1.6 FLEX,11/12,R$ 20.300,1.960,null,22
FIAT,UNO VIVACE 1.0,14/15,--,1.960,null,21
RENAULT,MEGANE SD EXPR 16,09/10,R$ 6.500,1.960,null,48
FORD,KA FLEX,09/09,R$ 7.900,1.960,null,22
IMP RENAULT,CLIO EXP 10 16V H,12/13,--,1.960,null,48
CITROEN,C3 GLX 14 FLEX,10/11,--,1.960,null,13
VW,PARATI 1.8 TRACKFIELD,06/06,R$ 13.300,1.960,null,59
CITROEN,PICASSO II 20 EXCA,09/10,R$ 7.700,1.960,null,13
GM,CELTA 2P LIFE,09/10,--,1.960,null,23
RENAULT,SANDERO EXP 16 SCE,16/17,--,2.300,null,48
IMP FORD,FOCUS HC FLEX,10/11,--,2.300,null,22
DAF,XF FTT 530 CAB. EST.,24/24,--,5.400,null,0
VOLVO,FH 440 6X2T,10/10,--,5.400,null,58
FIAT,MOBI LIKE,21/22,R$ 30.000,2.360,null,21
IMP CITROEN,C4 PALLAS 20 G F,12/13,R$ 13.000,2.360,null,13
CAOACHERY,ARRIZO6 GSX,21/21,R$ 45.400,2.360,null,0
VW,FOX 1.6 PRIME G II,12/12,--,2.360,null,59
IMP RENAULT,CLIO CAM 10 16V H,10/10,R$ 2.600,2.360,null,48
GM,CELTA 2P LIFE,08/09,--,2.360,null,23
VW,GOL 1.0 G IV,11/12,--,2.360,null,59
